390040,305724
257572,260675
218559,343222
207777,248669
188730,996783
174710,218940
165806,601353
158169,194877
149868,208232
150611,191943
142505,190601
137377,189684
132412,216746
126932,187933
118669,197053
121952,196000
117743,215940
110355,198211
100832,195306
98418,195625
109364,190427
97660,198304
95028,200325
86749,199995
82949,194539
80551,197932
79029,208533
80155,216079
79376,207343
76372,204120
77564,211777
73873,208442
71234,226795
70293,213466
68809,221219
105899,177889
98585,185994
94683,182492
91005,192370
88251,194188
86290,193872
84930,192521
81986,196549
81770,198386
82071,199495
79258,202398
77876,213816
75428,204943
73987,208912
72338,203691
71572,210674
70271,206650
69350,211376
68386,206737
67427,212892
66422,217892
66178,214298
96117,178275
92854,180391
90411,185898
88618,188436
86869,187618
84988,190845
83640,191882
82122,190450
80897,198262
79620,199778
78203,197674
77047,202937
76177,202623
75323,203664
74314,206149
73270,212759
72633,210241
71837,209602
71260,211041
70453,209841
69739,214025
95494,176557
93199,177661
91440,181134
90376,182442
89081,185421
88003,185835
86939,182407
86129,186660
84969,187166
84022,189004
83222,188916
82392,189280
81672,192714
80784,193715
79997,193874
79301,194526
78624,194007
78031,197722
77364,200068
76685,199519
76114,197749
75439,201788
92732,178825
91779,177473
90954,181389
90273,181848
89655,182606
89060,182538
88358,184327
87832,181528
87250,183545
86714,184252
86067,186952
85477,187572
85056,185179
84633,185658
84315,185965
83601,188769
83300,188895
82770,190661
82347,192461
82025,191398
81530,191492
92591,176977
91778,180768
91515,178291
91142,178553
90647,178524
90346,177651
90036,180218
89871,182421
89577,181812
89047,181464
88850,183797
88503,181560
87946,181164
87798,186474
87401,184658
87255,183428
86855,186203
86593,186462
86450,184107
86091,183925
85827,187120
92602,175673
92199,177488
91954,177074
91662,180996
91286,178644
91314,180430
90862,181114
90988,180348
90559,178134
90292,178869
90318,179042
90047,183431
89984,180947
89571,180092
89447,182907
89468,182936
89107,180236
89126,180693
88900,180030
88804,181945
88409,181871
88318,181884
88059,183077
88067,182877
87988,179261
87752,183466
87678,182945
87497,187304
87258,183181
87037,181232
87017,183216
86795,183644
86868,185609
86571,182335
86663,188125
86262,186318
86187,186362
86025,185837
